university_city_id,city
1,KAYSERİ
2,İSTANBUL
3,YURTDIŞI
4,ADANA
5,ADIYAMAN
6,AFYONKARAHİSAR
7,AĞRI
8,ANTALYA
9,AKSARAY
10,AMASYA
11,ESKİŞEHİR
12,ANKARA
13,ARDAHAN
14,ARTVİN
15,ERZURUM
16,TRABZON
17,AYDIN
18,BALIKESİR
19,BARTIN
20,BATMAN
21,BAYBURT
22,BİLECİK
23,BİNGÖL
24,BİTLİS
25,BOLU
26,BURDUR
27,BURSA
28,MERSİN
29,ÇANAKKALE
30,ÇANKIRI
31,DİYARBAKIR
32,İZMİR
33,DÜZCE
34,ERZİNCAN
35,ELAZIĞ
36,GAZİANTEP
37,KOCAELİ
38,GİRESUN
39,GÜMÜŞHANE
40,HAKKARİ
41,ŞANLIURFA
42,HATAY
43,ÇORUM
44,IĞDIR
45,MALATYA
46,ISPARTA
47,KARS
48,KAHRAMANMARAŞ
49,NEVŞEHİR
50,KARABÜK
51,KARAMAN
52,KASTAMONU
53,KİLİS
54,KIRIKKALE
55,KIRKLARELİ
56,KIRŞEHİR
57,KONYA
58,KÜTAHYA
59,MANİSA
60,MARDİN
61,MUĞLA
62,TUNCELİ
63,MUŞ
64,NİĞDE
65,SAMSUN
66,ORDU
67,OSMANİYE
68,DENİZLİ
69,RİZE
70,SAKARYA
71,SİİRT
72,SİNOP
73,SİVAS
74,ŞIRNAK
75,TEKİRDAĞ
76,TOKAT
77,EDİRNE
78,UŞAK
79,VAN
80,YALOVA
81,YOZGAT
82,ZONGULDAK
